03/12/21 11:04:28: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/9-editor-only/_editor-specific.scss on line 130, at column 0
03/12/21 11:06:28: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/9-editor-only/_editor-specific.scss on line 33, at column 0
03/12/21 11:58:00: editor.scss - parse error: failed at `margin-left: calc( 100% - var(--max-width-container)) / 2);` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/2-mixins-functions/_mixins.scss on line 43, at column 13
03/12/21 11:58:00: style.scss - parse error: failed at `margin-left: calc( 100% - var(--max-width-container)) / 2);` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/2-mixins-functions/_mixins.scss on line 43, at column 13
03/12/21 11:58:09: editor.scss - parse error: failed at `margin-left: calc( 100vw - var(--max-width-container)) / 2);` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/2-mixins-functions/_mixins.scss on line 43, at column 13
03/12/21 11:58:09: style.scss - parse error: failed at `margin-left: calc( 100vw - var(--max-width-container)) / 2);` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/2-mixins-functions/_mixins.scss on line 43, at column 13
03/13/21 4:24:26: editor.scss - unexpected }: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/2-mixins-functions/_mixins.scss on line 55, at column 0
03/13/21 4:24:26: style.scss - unexpected }: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/2-mixins-functions/_mixins.scss on line 55, at column 0
03/13/21 4:46:30: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/2-mixins-functions/_mixins.scss on line 71, at column 0
03/13/21 4:46:30: style.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/2-mixins-functions/_mixins.scss on line 71, at column 0
03/21/21 4:04:35: editor.scss - parse error: failed at `border: 2px solid &:not(.has-text-color) {` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/6-styled-components/621-core-blocks/_wp-block-button.scss on line 71, at column 5
